date,avg_temp,max_temp,min_temp,rain,feeling,schedule,top,bottom,outer,tip
2020-12-01,1.1,-3.6,6.7,0,3,1,니트,청바지,두꺼운코트,0
2020-12-02,2.4,0.5,6.1,0,1,1,니트,청바지,두꺼운코트,0
2020-12-03,0.7,-2.3,4.2,0,3,0,맨투맨,기모바지,패딩,0
2020-12-04,-0.6,-4.6,4.4,0,5,0,기모후드티,기모바지,패딩,0
2020-12-05,2.1,-2.2,6.6,0,4,1,맨투맨,청바지,두꺼운코트,0
2020-12-06,4.5,1.2,9.1,0,3,0,후드티,기모바지,패딩,0
2020-12-07,3.4,-0.7,6.3,0,0,0,후드티,기모바지,패딩,0
2020-12-08,-0.5,-3.5,4.1,0,5,0,맨투맨,기모바지,패딩,0
2020-12-09,1.5,-4.1,6.2,0,1,0,후드티,기모바지,패딩,0
2020-12-10,5.8,3.2,9.3,0,5,1,맨투맨,청바지,두꺼운코트,0
2020-12-11,5.3,2.6,9.4,0,3,1,니트,청바지,두꺼운코트,0
2020-12-12,2.3,-0.3,6.1,0,4,0,맨투맨,기모바지,패딩,0
2020-12-13,-1.1,-6,2,2.9,4,1,니트,기모바지,두꺼운코트,우산
2020-12-14,-7.7,-9.7,-5,0,5,1,맨투맨,기모바지,두꺼운코트,0
2020-12-15,-8.3,-11.1,-4.6,0,4,1,니트,기모바지,두꺼운코트,0
2020-12-16,-8.3,-11.2,-3.9,0,0,0,기모후드티,기모바지,패딩,0
2020-12-17,-4.9,-11.1,0.8,0,3,1,니트,기모바지,두꺼운코트,0
2020-12-18,-2.1,-6.4,1.8,0.2,4,1,니트,기모바지,두꺼운코트,우산
2020-12-19,-5.1,-9.6,-1.2,0,3,1,맨투맨,기모바지,두꺼운코트,0
2020-12-20,-3.7,-8.2,1.1,0,3,0,기모 후드티,기모바지,패딩,0
2020-12-21,-1,-6,4.7,0,0,1,맨투맨,기모바지,두꺼운코트,0
2020-12-22,2,-2.5,7.2,0,3,0,기모후드티,기모바지,패딩,0
2020-12-23,4.5,-0.4,8.5,0,4,1,맨투맨,청바지,두꺼운코트,0
2020-12-24,2.6,-2,6.1,0,1,0,기모후드티,기모바지,패딩,0
2020-12-25,-0.8,-4.7,3.5,0,0,0,기모후드티,기모바지,패딩,0
2020-12-26,2.2,-2.1,8,0,0,0,기모후드티,기모바지,패딩,0
2020-12-27,5.8,1.4,10,0,3,0,후드티,청바지,패딩,0
2020-12-28,6.7,4.2,11.4,1.3,2,0,후드티,청바지,자켓,우산
2020-12-29,0.1,-6.2,4.3,0.2,1,0,기모후드티,기모바지,패딩,우산
2020-12-30,-10.9,-12.9,-6.2,0,0,0,기모후드티,기모바지,패딩,0
2020-12-31,-8.9,-12.9,-5,0,4,0,기모후드티,기모바지,패딩,0
2021-01-01,-4.2,-9.8,1.6,0,1,0,기모후드티,기모바지,패딩,0
2021-01-02,-5,-8.4,-1.4,0,5,1,맨투맨,기모바지,두꺼운코트,0
2021-01-03,-5.6,-9.1,-2,0,2,1,맨투맨,기모바지,두꺼운코트,0
2021-01-04,-3.5,-8.4,0.3,0,2,1,맨투맨,기모바지,두꺼운코트,0
2021-01-05,-5.5,-9.9,-2.1,0,2,0,기모후드티,기모바지,패딩,0
2021-01-06,-7.4,-12,-1.9,2.3,1,1,맨투맨,기모바지,두꺼운코트,우산
2021-01-07,-14.5,-16.5,-8.4,0,2,0,기모후드티,기모바지,패딩,0
2021-01-08,-14.9,-18.6,-10.7,0,4,1,맨투맨,기모바지,두꺼운코트,0
2021-01-09,-12.2,-16.6,-7.5,0,1,1,맨투맨,기모바지,두꺼운코트,0
2021-01-10,-7.7,-12.8,-2.7,0,5,1,맨투맨,기모바지,두꺼운코트,0
2021-01-11,-6.7,-9.6,-4,0,2,0,기모후드티,기모바지,패딩,0
2021-01-12,-3.9,-9.3,-0.5,2.6,2,1,맨투맨,기모바지,두꺼운코트,우산
2021-01-13,2,-3,8.3,0,5,0,기모후드티,기모바지,패딩,0
2021-01-14,1.7,-3.6,7,0,0,1,맨투맨,기모바지,두꺼운코트,0
2021-01-15,4.5,-0.7,9.9,0.2,1,0,후드티,청바지,패딩,우산
2021-01-16,-4.9,-8.7,-0.7,0,3,1,맨투맨,기모바지,두꺼운코트,0
2021-01-17,-5.5,-10.8,-1.3,0,2,0,기모후드티,기모바지,패딩,0
2021-01-18,-3.8,-9.1,0.2,0.3,3,1,맨투맨,기모바지,두꺼운코트,우산
2021-01-19,-6.3,-11.6,-0.2,0,4,0,기모후드티,기모바지,패딩,0
2021-01-20,-0.1,-6.6,7.1,0,5,1,맨투맨,기모바지,두꺼운코트,0
2021-01-21,4.5,2.5,7,9.2,3,1,맨투맨,청바지,두꺼운코트,우산
2021-01-22,5.5,4.8,6.6,0.1,3,0,후드티,청바지,자켓,우산
2021-01-23,7.6,4.8,12.2,0,5,0,후드티,청바지,자켓,0
2021-01-24,7.3,2.4,13.9,0,4,1,니트,청바지,두꺼운코트,0
2021-01-25,7.9,3,13.9,0,4,1,니트,청바지,두꺼운코트,0
2021-01-26,5.3,1.7,7.4,1.7,5,1,맨투맨,청바지,두꺼운코트,우산
2021-01-27,1.7,-1.8,6.5,0,3,0,기모후드티,기모바지,패딩,0
2021-01-28,-2.6,-9.7,1.4,2,3,0,기모후드티,기모바지,패딩,우산
2021-01-29,-8.8,-11.6,-4.9,0,2,0,기모후드티,기모바지,패딩,0
2021-01-30,-1.6,-8.1,5.2,0.5,3,1,맨투맨,기모바지,두꺼운코트,우산
2021-01-31,3.2,-3.8,8.7,0,4,1,맨투맨,청바지,두꺼운코트,0
2021-02-01,5,-2.3,9.5,0.7,2,0,후드티,청바지,패딩,우산
2021-02-02,-5.6,-8.2,-2.4,0,1,0,기모후드티,기모바지,패딩,0
2021-02-03,-3.2,-9.4,1.4,3.4,5,1,맨투맨,기모바지,두꺼운코트,우산
2021-02-04,-3.6,-7.4,0.7,0.1,1,0,기모후드티,기모바지,패딩,우산
2021-02-05,1.4,-4.4,6.7,0,1,1,맨투맨,기모바지,두꺼운코트,0
2021-02-06,6.8,4.3,9.5,0,3,1,니트,청바지,코트,0
2021-02-07,3.6,-2.6,7.7,0,2,0,기모후드티,청바지,패딩,0
2021-02-08,-3.1,-5.4,0.2,0,3,0,기모후드티,기모바지,패딩,0
2021-02-09,-0.9,-6.1,4.7,0,4,0,기모후드티,기모바지,패딩,0
2021-02-10,3.4,-1.5,7.2,0,0,0,기모후드티,청바지,패딩,0
2021-02-11,5.5,1.3,10.9,0,2,0,후드티,청바지,패딩,0
2021-02-12,6.5,0.6,14,0,3,0,후드티,청바지,패딩,0
2021-02-13,7.6,1,15.9,0,1,0,후드티,청바지,패딩,0
2021-02-14,9.5,6.4,13.8,0,3,1,니트,청바지,후드집업,0
2021-02-15,1.2,-5.2,8.2,1.4,1,1,맨투맨,기모바지,두꺼운코트,우산
2021-02-16,-5.1,-7,-1.3,1.5,4,0,기모후드티,기모바지,패딩,우산
2021-02-17,-8.3,-10.4,-5.2,0,1,0,기모후드티,기모바지,패딩,0
2021-02-18,-5.8,-10.6,-0.4,0,5,1,맨투맨,기모바지,두꺼운코트,0
2021-02-19,1.6,-7.1,8.9,0,3,1,맨투맨,기모바지,두꺼운코트,0
2021-02-20,8.8,5.5,14.9,0,4,1,니트,청바지,후드집업,0
2021-02-21,10.8,4.7,17.4,0,5,0,후드티,청바지,후드집업,0
2021-02-22,7.8,0.4,12.6,0,3,0,후드티,청바지,패딩,0
2021-02-23,0,-3.1,4.3,0,1,1,맨투맨,기모바지,두꺼운코트,0
2021-02-24,2.9,-3,10.1,0,2,0,기모후드티,기모바지,패딩,0
2021-02-25,4.2,0.7,8.2,0,3,1,맨투맨,청바지,두꺼운코트,0
2021-02-26,8.2,0.5,15.8,0,2,0,후드티,청바지,패딩,0
2021-02-27,9.5,4.3,16.2,0,5,0,후드티,청바지,후드집업,0
2021-02-28,7.8,3.2,10.8,0,4,0,후드티,청바지,패딩,0
2021-03-01,4.7,0.5,9,67.5,2,1,맨투맨,청바지,두꺼운코트,우산
2021-03-02,2.3,0.2,6.9,0.1,1,0,기모후드티,기모바지,패딩,우산
2021-03-03,4.4,-1.2,9.9,0,0,1,맨투맨,청바지,두꺼운코트,0
2021-03-04,7.2,2.5,13,0,0,1,니트,청바지,두꺼운코트,0
2021-03-05,9,3,16.2,0,2,0,후드티,청바지,패딩,0
2021-03-06,6.6,3.2,11.6,0,1,0,후드티,청바지,패딩,0
2021-03-07,6.2,2.1,12.2,0,2,0,후드티,청바지,패딩,0
2021-03-08,7,1.5,13.9,0,5,1,니트,청바지,두꺼운코트,0
2021-03-09,6.6,2.1,12.2,0,3,1,니트,청바지,두꺼운코트,0
2021-03-10,8.8,1.7,17.1,0,1,1,니트,청바지,두꺼운코트,0
2021-03-11,10.2,4.7,17.1,0,2,0,긴팔티,청바지,후드집업,0
2021-03-12,10.5,7.2,14.9,0,4,1,니트,청바지,후드집업,0
2021-03-13,9.2,4.6,14.2,0,5,1,니트,청바지,후드집업,0
2021-03-14,9.1,4.9,14.7,0,4,1,니트,청바지,후드집업,0
2021-03-15,10.6,5.1,15.7,1.7,0,1,니트,청바지,후드집업,우산
2021-03-16,8.4,4.9,13.1,1.3,4,0,긴팔티,청바지,후드집업,우산
2021-03-17,8.8,1.8,17.5,0,4,1,니트,청바지,두꺼운코트,0
2021-03-18,11.7,5,18.4,0,2,1,니트,청바지,후드집업,0
2021-03-19,15.3,11.4,20.2,0,5,0,긴팔티,청바지,바람막이,0
2021-03-20,9.9,7.4,14.7,5.1,0,0,긴팔티,청바지,후드집업,우산
2021-03-21,5.8,3.1,8.6,0.3,3,1,니트,청바지,두꺼운코트,우산
2021-03-22,6.2,1.1,11.1,0,4,1,니트,청바지,두꺼운코트,0
2021-03-23,9.1,2.5,16.4,0,3,1,니트,청바지,두꺼운코트,0
2021-03-24,10.8,5.7,16.9,0,3,1,니트,청바지,후드집업,0
2021-03-25,11.9,6.8,19,0,1,0,긴팔티,청바지,후드집업,0
2021-03-26,12.6,4.8,20.6,0,5,0,긴팔티,청바지,후드집업,0
2021-03-27,12.1,10.2,15,25.5,2,0,긴팔티,청바지,후드집업,우산
2021-03-28,9,7.7,13,9.2,1,1,니트,청바지,후드집업,우산
2021-03-29,10.2,7.3,14.6,0.2,3,0,긴팔티,청바지,후드집업,우산
2021-03-30,10.8,4.1,18.2,0,2,0,니트,청바지,후드집업,0
2021-03-31,14.5,5.9,22.9,0,2,0,긴팔티,청바지,후드집업,0
2021-04-01,17.7,12,24,0,1,0,긴팔티,청바지,바람막이,0
2021-04-02,17.8,12.5,23,0,2,1,셔츠,청바지,바람막이,0
2021-04-03,14.9,10.9,18,56.2,1,0,긴팔티,청바지,후드집업,우산
2021-04-04,11.9,9,15.8,0.6,4,0,긴팔티,청바지,후드집업,우산
2021-04-05,11.9,5.4,19.3,0,3,0,긴팔티,청바지,후드집업,0
2021-04-06,13.9,9.4,19.2,0,0,1,니트,청바지,후드집업,0
2021-04-07,14.1,8.1,20.4,0,3,0,긴팔티,청바지,후드집업,0
2021-04-08,13,7.2,18,0,5,0,긴팔티,청바지,후드집업,0
2021-04-09,13.6,7.6,19.6,0,2,0,긴팔티,청바지,후드집업,0
2021-04-10,12.6,7.7,18.8,0,5,1,니트,청바지,후드집업,0
2021-04-11,15,7.5,21.8,0,3,1,셔츠,청바지,바람막이,0
2021-04-12,13.8,11.9,17.8,22,1,1,니트,청바지,후드집업,우산
2021-04-13,10.4,5.7,13.5,8,5,0,긴팔티,청바지,후드집업,우산
2021-04-14,8.4,3.1,13.3,0,3,1,니트,청바지,두꺼운코트,0
2021-04-15,11.6,6.3,18.3,0,1,0,긴팔티,면바지,후드집업,0
2021-04-16,11.3,8.1,14.8,0.7,3,0,긴팔티,면바지,후드집업,우산
2021-04-17,9.6,6,14.6,0,4,0,니트,면바지,후드집업,0
2021-04-18,9.9,5.6,15.3,0,1,0,긴팔티,면바지,후드집업,0
2021-04-19,12.2,5.8,19.4,0,0,1,니트,슬랙스,후드집업,0
2021-04-20,14.8,8.1,22,0,0,1,셔츠,슬랙스,후드집업,0
2021-04-21,19.1,10.3,28.2,0,3,0,긴팔티,면바지,바람막이,0
2021-04-22,20.9,16.1,27.5,0,0,1,셔츠,슬랙스,겉옷없음,0
2021-04-23,19,17,21.7,0,4,1,셔츠,슬랙스,바람막이,0
2021-04-24,18.3,15.3,22.2,0,3,1,셔츠,슬랙스,바람막이,0
2021-04-25,18.2,12.6,24,0,2,0,긴팔티,면바지,바람막이,0
2021-04-26,16.2,12.3,20.6,0,2,1,셔츠,슬랙스,바람막이,0
2021-04-27,15.4,12.5,20,1.7,3,1,셔츠,슬랙스,바람막이,우산
2021-04-28,14.5,11.2,18.2,4.7,2,1,셔츠,슬랙스,후드집업,우산
2021-04-29,14.6,10.9,20.1,3.9,0,0,긴팔티,면바지,후드집업,우산
2021-04-30,11.3,8.6,14.6,26.3,1,0,긴팔티,면바지,후드집업,우산
2021-05-01,10.2,8.5,15.3,8,3,1,셔츠,슬랙스,후드집업,우산
